OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-11080 [DTC],2024-152H,2026-04-16T05:43:36.467328,15.69697755,8.042e-05,53.1605,291.0722,103.6855,256.4252,0,U,60727,999,9486,3.6358247e-05,3.816e-05,0.0
STARLINK-11249 [DTC],2024-152J,2026-04-15T17:23:03.779520,15.69700047,6.957e-05,53.1569,293.5488,96.3279,263.7818,0,U,60728,999,9465,2.5813996e-05,2.539e-05,0.0
STARLINK-11146 [DTC],2024-152K,2026-04-15T21:51:02.764224,15.69698806,4.057e-05,53.16,292.5644,259.3777,100.7195,0,U,60729,999,9481,2.6416788e-05,2.612e-05,0.0
STARLINK-11255 [DTC],2024-152L,2026-04-16T05:22:24.293856,15.69712177,5.938e-05,53.159,290.9739,108.5456,251.5626,0,U,60730,999,9474,1.0757654e-05,7.16e-06,0.0
STARLINK-11254 [DTC],2024-152M,2026-04-16T05:15:20.563200,15.69712381,8.369e-05,53.1594,290.9395,80.5052,279.6061,0,U,60731,999,9474,7.384796e-06,3.07e-06,0.0
STARLINK-11266 [DTC],2024-152N,2026-04-16T05:08:16.785888,15.69707784,7.495e-05,53.161,290.8951,86.4357,273.6747,0,U,60732,999,9473,1.526614e-06,-4.03e-06,0.0
STARLINK-32253,2024-152P,2026-04-16T06:10:27.565536,15.30192961,0.00011788,53.1599,93.8466,88.1223,271.9913,0,U,60733,999,9255,2.8766744e-05,4.93e-06,0.0
STARLINK-32179,2024-152Q,2026-04-16T05:37:11.327232,15.30196854,0.00013643,53.1611,94.4228,96.9797,263.1359,0,U,60734,999,9246,8.2611096e-05,2.088e-05,0.0
STARLINK-32289,2024-152T,2026-04-16T05:18:54.371232,15.30154523,0.00010452,53.16,94.3441,112.407,247.7041,0,U,60737,999,9259,-0.00024774791,-7.679e-05,0.0
STARLINK-32304,2024-152U,2026-04-16T05:14:23.919360,15.30190549,0.00013011,53.1596,94.3232,85.0986,275.0163,0,U,60738,999,9259,2.4822581e-05,3.76e-06,0.0
STARLINK-32235,2024-152V,2026-04-15T16:37:24.765600,15.30189637,0.0001243,53.1604,96.7298,93.9067,266.2076,0,U,60739,999,9246,-9.212996e-06,-6.32e-06,0.0
STARLINK-32315,2024-152W,2026-04-16T06:39:20.187936,15.30188583,0.00012352,53.1605,93.9807,88.6211,271.4931,0,U,60740,999,9247,2.134076e-06,-2.96e-06,0.0
